id, name, scryfall_uri, released_at, uri, 
1316a74e-da55-4668-87f2-98389a90a2a4, Codespell Cleric, https://scryfall.com/card/khm/7/codespell-cleric?utm_source=api, 2021-02-05, https://api.scryfall.com/cards/1316a74e-da55-4668-87f2-98389a90a2a4, 
389f0045-218d-41cd-bdca-8a9a0ab1b31b, Battlefield Raptor, https://scryfall.com/card/khm/3/battlefield-raptor?utm_source=api, 2021-02-05, https://api.scryfall.com/cards/389f0045-218d-41cd-bdca-8a9a0ab1b31b, 
e78e39ea-20be-4196-992c-7ed2cb8150c1, Angel's Grace, https://scryfall.com/card/tsr/4/angels-grace?utm_source=api, 2021-03-19, https://api.scryfall.com/cards/e78e39ea-20be-4196-992c-7ed2cb8150c1, 
1a6cbece-f9d8-4c40-b72b-dfdb86430ff2, Children of Korlis, https://scryfall.com/card/tsr/14/children-of-korlis?utm_source=api, 2021-03-19, https://api.scryfall.com/cards/1a6cbece-f9d8-4c40-b72b-dfdb86430ff2, 
ebecd3d1-15ed-4501-89af-4718a212332d, Dispeller's Capsule, https://scryfall.com/card/c21/89/dispellers-capsule?utm_source=api, 2021-04-23, https://api.scryfall.com/cards/ebecd3d1-15ed-4501-89af-4718a212332d, 
54ebe581-be17-415a-a160-28d8f4e95636, Detention Vortex, https://scryfall.com/card/stx/13/detention-vortex?utm_source=api, 2021-04-23, https://api.scryfall.com/cards/54ebe581-be17-415a-a160-28d8f4e95636, 
69957656-cfdf-4001-8e84-0ef29e4a468d, Clever Lumimancer, https://scryfall.com/card/stx/10/clever-lumimancer?utm_source=api, 2021-04-23, https://api.scryfall.com/cards/69957656-cfdf-4001-8e84-0ef29e4a468d, 
792610fd-736d-43b0-8899-dbb5accddca0, Blossoming Calm, https://scryfall.com/card/mh2/7/blossoming-calm?utm_source=api, 2021-06-18, https://api.scryfall.com/cards/792610fd-736d-43b0-8899-dbb5accddca0, 
31506792-d0ab-4c13-9ab8-6fa433220dbf, Blacksmith's Skill, https://scryfall.com/card/mh2/6/blacksmiths-skill?utm_source=api, 2021-06-18, https://api.scryfall.com/cards/31506792-d0ab-4c13-9ab8-6fa433220dbf, 
fe4a2cb0-4129-451e-a946-a21ea646cc28, Arcbound Javelineer, https://scryfall.com/card/mh2/2/arcbound-javelineer?utm_source=api, 2021-06-18, https://api.scryfall.com/cards/fe4a2cb0-4129-451e-a946-a21ea646cc28, 
9d66e724-49ee-4f08-a160-584350de1d95, Arcbound Mouser, https://scryfall.com/card/mh2/3/arcbound-mouser?utm_source=api, 2021-06-18, https://api.scryfall.com/cards/9d66e724-49ee-4f08-a160-584350de1d95, 
47ce8b7e-d8e1-489a-a69e-99089eeb8739, Cleric Class, https://scryfall.com/card/afr/6/cleric-class?utm_source=api, 2021-07-23, https://api.scryfall.com/cards/47ce8b7e-d8e1-489a-a69e-99089eeb8739, 
20e94e17-2e4c-41cd-8cc5-39ab41037287, Chaplain of Alms // Chapel Shieldgeist, https://scryfall.com/card/mid/13/chaplain-of-alms-chapel-shieldgeist?utm_source=api, 2021-09-24, https://api.scryfall.com/cards/20e94e17-2e4c-41cd-8cc5-39ab41037287, 
32869a36-f21e-4348-a787-871daa6151df, Candletrap, https://scryfall.com/card/mid/9/candletrap?utm_source=api, 2021-09-24, https://api.scryfall.com/cards/32869a36-f21e-4348-a787-871daa6151df, 
9e7819d5-12a9-4719-91b2-8dd1ba6f3800, Curse of Silence, https://scryfall.com/card/mid/15/curse-of-silence?utm_source=api, 2021-09-24, https://api.scryfall.com/cards/9e7819d5-12a9-4719-91b2-8dd1ba6f3800, 
